These,Best_Policy_Category,SPD_Model_Prediction,CDU/CSU_Model_Prediction,GRÜNE_Model_Prediction,FDP_Model_Prediction,AfD_Model_Prediction,Die Linke_Model_Prediction
"Deutschland soll das Ziel verwerfen, klimaneutral zu werden.",501 - Environmental Protection: Positive,stimme zu,stimme zu,stimme zu,stimme zu,stimme zu,stimme zu
Deutschland soll die Ukraine weiterhin militärisch unterstützen.,104 - Military: Positive,stimme zu,stimme zu,neutral,stimme zu,stimme zu,neutral
Deutschland soll sich für die Abschaffung der erhöhten EU-Zölle auf chinesische Elektroautos einsetzen.,407 - Protectionism: Negative,neutral,stimme zu,neutral,stimme zu,neutral,neutral
Deutschland soll weiterhin die Anwerbung von Fachkräften aus dem Ausland fördern.,411 - Technology and Infrastructure,stimme zu,stimme zu,stimme zu,stimme zu,stimme zu,stimme zu
Die Ausbildungsförderung BAföG soll weiterhin abhängig vom Einkommen der Eltern gezahlt werden.,503 - Equality: Positive,stimme zu,stimme zu,stimme zu,stimme zu,stimme zu,stimme zu
Die Grundsteuer soll weiterhin auf Mieterinnen und Mieter umgelegt werden dürfen.,403 - Market Regulation,stimme zu,neutral,stimme zu,stimme zu,stimme zu,stimme zu
Die Schuldenbremse im Grundgesetz soll beibehalten werden.,414 - Economic Orthodoxy,neutral,stimme zu,stimme zu,stimme zu,stimme zu,neutral
Die gesetzliche Frauenquote in Vorständen und Aufsichtsräten börsennotierter Unternehmen soll abgeschafft werden.,503 - Equality: Positive,stimme zu,stimme zu,stimme zu,stimme zu,stimme zu,stimme zu
Ehrenamtliche Tätigkeiten sollen auf die zukünftige Rente angerechnet werden.,606 - Civic Mindedness: Positive,neutral,stimme zu,stimme zu,stimme zu,neutral,neutral
Energieintensive Unternehmen sollen vom Staat einen finanziellen Ausgleich für ihre Stromkosten erhalten.,402 - Incentives,stimme zu,stimme zu,stimme zu,stimme zu,stimme zu,neutral
Für die Stromerzeugung soll Deutschland wieder Kernenergie nutzen.,411 - Technology and Infrastructure,stimme zu,stimme zu,stimme zu,stimme zu,stimme zu,stimme zu
Für junge Erwachsene soll ein soziales Pflichtjahr eingeführt werden.,606 - Civic Mindedness: Positive,neutral,stimme zu,stimme zu,stimme zu,neutral,neutral
Im einleitenden Satz des Grundgesetzes soll weiterhin die Formulierung „Verantwortung vor Gott“ stehen.,603 - Traditional Morality: Positive,stimme zu,stimme zu,stimme zu,stimme zu,stimme zu,stimme zu
In Deutschland soll die 35-Stunden-Woche als gesetzliche Regelarbeitszeit für alle Beschäftigten festgelegt werden.,701 - Labour Groups: Positive,stimme zu,stimme zu,stimme zu,stimme zu,neutral,stimme zu
In Deutschland soll es auf Bundesebene Volksentscheide geben können.,202 - Democracy,stimme zu,stimme zu,stimme zu,stimme zu,stimme zu,stimme zu
"In Deutschland soll es weiterhin generell möglich sein, neben der deutschen eine zweite Staatsbürgerschaft zu haben.",607 - Multiculturalism: Positive,stimme zu,neutral,stimme zu,neutral,neutral,stimme zu
Neue Heizungen sollen auch zukünftig vollständig mit fossilen Brennstoffen (z. B. Gas oder Öl) betrieben werden dürfen.,501 - Environmental Protection: Positive,stimme zu,stimme zu,stimme zu,stimme zu,stimme zu,stimme zu
Schwangerschaftsabbrüche sollen in den ersten drei Monaten weiterhin nur nach Beratung straffrei sein.,604 - Traditional Morality: Negative,stimme zu,neutral,neutral,stimme zu,neutral,stimme zu
Unter 14-Jährige sollen strafrechtlich belangt werden können.,605 - Law and Order: Positive,stimme zu,stimme zu,stimme zu,stimme zu,stimme zu,stimme zu
Unternehmen sollen weiterhin die Einhaltung der Menschenrechte und des Umweltschutzes bei allen Zulieferern kontrollieren müssen.,403 - Market Regulation,stimme zu,neutral,stimme zu,stimme zu,stimme zu,stimme zu
Ökologische Landwirtschaft soll stärker gefördert werden als konventionelle Landwirtschaft.,703 - Agriculture and Farmers: Positive,stimme zu,stimme zu,stimme zu,stimme zu,stimme zu,neutral
